ID_ENTIDAD|ENTIDAD|MUNEXCLU|TIPO
01|Amazonas||0
02|Antioquia|Medellín-Bello-Envigado-Itagüí-Turbo-Apartadó-Rionegro-Sabaneta|1
03|Medellín||2
04|Bello||2
05|Envigado||2
06|Itagüí||2
07|Turbo||2
08|Arauca||0
09|Atlántico|Soledad-Barranquilla-Malambo|1
10|Soledad||2
11|Barranquilla||2
12|Bogotá, D.C.||2
13|Bolívar|Magangué-Cartagena|1
14|Magangué||2
15|Boyacá|Tunja-Duitama-Sogamoso|1
16|Tunja||2
17|Duitama||2
18|Sogamoso||2
19|Caldas|Manizales|1
20|Manizales||2
21|Caquetá|Florencia|1
22|Florencia||2
23|Cartagena||2
24|Casanare|Yopal|1
25|Cauca|Popayán|1
26|Popayán||2
27|Cesar|Valledupar|1
28|Valledupar||2
29|Chocó|Quibdó|1
30|Córdoba|Montería-Lorica-Sahagún|1
31|Montería||2
32|Lorica||2
33|Sahagún||2
34|Cundinamarca|Fusagasugá-Girardot-Soacha-Chía-Facatativá-Zipaquirá-Mosquera|1
35|Fusagasugá||2
36|Girardot||2
37|Soacha||2
38|Guainía||0
39|Guaviare||0
40|Huila|Neiva-Pitalito|1
41|Neiva||2
42|La Guajira|Maicao-Uribia-Riohacha|1
43|Maicao||2
44|Magdalena|Ciénaga-Santa Marta|1
45|Ciénaga||2
46|Meta|Villavicencio|1
47|Villavicencio||2
48|Nariño|Pasto-Tumaco-Ipiales|1
49|Pasto||2
50|Tumaco||2
51|Norte de Santander|Cúcuta|1
52|Cúcuta||2
53|Putumayo||0
54|Quindío|Armenia|1
55|Armenia||2
56|Risaralda|Pereira-Dosquebradas|1
57|Pereira||2
58|Dosquebradas||2
59|San Andrés||0
60|Santa Marta||2
61|Santander|Bucaramanga-Barrancabermeja-Floridablanca-Girón-Piedecuesta|1
62|Bucaramanga||2
63|Barrancabermeja||2
64|Floridablanca||2
65|Girón||2
66|Sucre|Sincelejo|1
67|Sincelejo||2
68|Tolima|Ibagué|1
69|Ibagué||2
70|Valle del Cauca|Cali-Buenaventura-Buga-Cartago-Palmira-Tuluá-Jamundí-Yumbo|1
71|Cali||2
72|Buenaventura||2
73|Buga||2
74|Cartago||2
75|Palmira||2
76|Tuluá||2
77|Vaupés||0
78|Vichada||0
79|Quibdó||2
80|Uribia||2
81|Jamundí||2
82|Piedecuesta||2
83|Rionegro||2
84|Pitalito||2
85|Sabaneta||2
86|Zipaquirá||2
87|Mosquera||2
88|Ipiales||2
89|Facatativá||2
90|Apartadó||2
91|Chía||2
92|Malambo||2
93|Riohacha||2
94|Yopal||2
95|Yumbo||2
